                                             Query       QTime	numFound	  minQTime	  maxQTime	#invocations	return consistent
            citations(bibcode:2005RvMP...77..633F)	9	458	8	        10	2	      True
            citations(bibcode:1952RSPSA.211..564L)	9	362	7	        11	2	      True
            citations(bibcode:2008PhRvL.101e7003M)	9	427	7	        11	2	      True
            citations(bibcode:1977SurSc..62..267T)	        28	212	7	        49	2	      True
                citations(id:[1000000 TO 1010000])	        30	56251	        30	        30	2	      True
            citations(bibcode:1972JPhC....5.1629V)	        31	2309	7	        55	2	      True
                citations(id:[1000000 TO 1020000])	        59	108923	        58	        60	2	      True
                citations(id:[1000000 TO 1030000])	        96	149610	        93	        99	2	      True
                citations(id:[1000000 TO 1040000])	       129	180407	       129	       130	2	      True
                citations(id:[1000000 TO 1050000])	       181	210415	       153	       210	2	      True
                citations(id:[1000000 TO 1060000])	       202	252007	       198	       207	2	      True
                citations(id:[1000000 TO 1070000])	       225	280112	       219	       231	2	      True
                citations(id:[1000000 TO 1080000])	       266	304347	       254	       279	2	      True
                citations(id:[1000000 TO 1090000])	       304	322710	       298	       311	2	      True
                citations(id:[1000000 TO 1100000])	       367	344093	       366	       368	2	      True
                citations(id:[1000000 TO 1110000])	       404	370871	       399	       409	2	      True
                citations(id:[1000000 TO 1120000])	       444	398377	       441	       447	2	      True
                citations(id:[1000000 TO 1130000])	       497	418199	       489	       505	2	      True
                citations(id:[1000000 TO 1140000])	       552	445655	       551	       553	2	      True
                citations(id:[1000000 TO 1150000])	       626	470702	       609	       643	2	      True
                citations(id:[1000000 TO 1160000])	       672	498708	       671	       674	2	      True
                citations(id:[1000000 TO 1170000])	       743	512769	       743	       743	2	      True
                citations(id:[1000000 TO 1180000])	       758	533801	       748	       769	2	      True
                citations(id:[1000000 TO 1190000])	       819	555594	       797	       842	2	      True
                citations(id:[1000000 TO 1200000])	       890	572723	       867	       913	2	      True
                citations(id:[1000000 TO 1210000])	       906	587859	       904	       908	2	      True
                citations(id:[1000000 TO 1220000])	       924	598007	       913	       936	2	      True
                citations(id:[1000000 TO 1230000])	      1008	615406	       984	      1033	2	      True
                citations(id:[1000000 TO 1240000])	      1085	634888	      1070	      1101	2	      True
                citations(id:[1000000 TO 1250000])	      1141	655822	      1119	      1164	2	      True
                citations(id:[1000000 TO 1260000])	      1225	672381	      1222	      1229	2	      True
                citations(id:[1000000 TO 1270000])	      1262	689592	      1251	      1273	2	      True
                citations(id:[1000000 TO 1280000])	      1288	701068	      1256	      1321	2	      True
                citations(id:[1000000 TO 1290000])	      1322	711518	      1305	      1340	2	      True
                citations(id:[1000000 TO 1310000])	      1383	738836	      1358	      1408	2	      True
                citations(id:[1000000 TO 1300000])	      1384	726674	      1348	      1421	2	      True
                citations(id:[1000000 TO 1320000])	      1442	754548	      1417	      1467	2	      True
                citations(id:[1000000 TO 1340000])	      1647	789926	      1616	      1678	2	      True
                citations(id:[1000000 TO 1350000])	      1667	801917	      1660	      1675	2	      True
                citations(id:[1000000 TO 1330000])	      1682	772476	      1608	      1756	2	      True
                citations(id:[1000000 TO 1360000])	      1733	814385	      1725	      1742	2	      True
                citations(id:[1000000 TO 1390000])	      1788	848131	      1708	      1869	2	      True
                citations(id:[1000000 TO 1370000])	      1801	825420	      1777	      1825	2	      True
                citations(id:[1000000 TO 1380000])	      1818	835388	      1816	      1821	2	      True
                citations(id:[1000000 TO 1400000])	      1920	866155	      1794	      2047	2	      True
                citations(id:[1000000 TO 1410000])	      2061	878341	      2051	      2072	2	      True
                citations(id:[1000000 TO 1420000])	      2110	889613	      2081	      2139	2	      True
                citations(id:[1000000 TO 1430000])	      2150	898838	      2114	      2187	2	      True
                citations(id:[1000000 TO 1440000])	      2159	912184	      2146	      2173	2	      True
                citations(id:[1000000 TO 1450000])	      2236	919032	      2235	      2237	2	      True
                citations(id:[1000000 TO 1460000])	      2294	934536	      2285	      2303	2	      True
                citations(id:[1000000 TO 1470000])	      2342	941103	      2328	      2357	2	      True
                citations(id:[1000000 TO 1490000])	      2422	964439	      2376	      2468	2	      True
                citations(id:[1000000 TO 1480000])	      2443	952308	      2424	      2463	2	      True
                citations(id:[1000000 TO 1510000])	      2485	986089	      2440	      2531	2	      True
                citations(id:[1000000 TO 1500000])	      2649	975052	      2521	      2778	2	      True
                citations(id:[1000000 TO 1520000])	      2793	1000683	      2755	      2831	2	      True
